node_1,node_2,edge,weight,chunk_id,source
松材线虫,bursaphelenchus xylophilus,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
伴生细菌,bursaphelenchus xylophilus,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,黑松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,湿地松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,赤松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,云南松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松褐天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
云杉花墨天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
monochamus alternatus,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
萎蔫,松材线虫,引起,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
针叶变色,松材线虫,引起,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
树脂分泌异常,松材线虫,引起,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
枯死,松材线虫,引起,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
阿维菌素,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
噻虫啉,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
诱捕器,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
生物防治,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
温度,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
湿度,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
降水,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
海拔,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,疫区,分布于,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,省份,分布于,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
松材线虫,分布区,分布于,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_330,llm
