node_1,node_2,edge,weight,chunk_id,source
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_113,llm
松褐天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_113,llm
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_114,llm
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
bursaphelenchus xylophilus,伴生细菌,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
松褐天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
云杉花墨天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
monochamus alternatus,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
马尾松,松褐天牛,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
黑松,松褐天牛,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
湿地松,松褐天牛,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
赤松,松褐天牛,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
云南松,松褐天牛,寄生,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
阿维菌素,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
噻虫啉,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
诱捕器,松褐天牛,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
生物防治,松材线虫,防治,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
温度,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
湿度,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
降水,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
海拔,松材线虫,影响,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_115,llm
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_116,llm
松褐天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_116,llm
松材线虫,马尾松,感染,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_117,llm
松褐天牛,松材线虫,传播,0.8,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf_117,llm
